name,E_gap,M,A,R1,R2,R3,sLi,ssBe,ssssBe,ssBH,sssB,ssssB,sCH3,dCH2,ssCH2,tCH,dsCH,aaCH,sssCH,ddC,tsC,dssC,aasC,aaaC,ssssC,sNH3,sNH2,ssNH2,dNH,ssNH,aaNH,tN,sssNH,dsN,aaN,sssN,ddsN,aasN,ssssN,sOH,dO,ssO,aaO,sF,sSiH3,ssSiH2,sssSiH,ssssSi,sPH2,ssPH,sssP,dsssP,sssssP,sSH,dS,ssS,aaS,dssS,ddssS,sCl,sGeH3,ssGeH2,sssGeH,ssssGe,sAsH2,ssAsH,sssAs,sssdAs,sssssAs,sSeH,dSe,ssSe,aaSe,dssSe,ddssSe,sBr,sSnH3,ssSnH2,sssSnH,ssssSn,sI,sPbH3,ssPbH2,sssPbH,ssssPb,Rot_A,ZnP,TiOP,TiO2RP,FZnP,FH2P,FTiOP,FTiO2RP,H2P
C64H38F8N6O5Ti,3.383088054,FTiOP,EthynFuA,DTA,EthynPhM,DTA,0,0,0,0,0,0,9.960428971,0,0,0,0,60.62970159,0,0,13.46315329,-1.178638928,12.58080497,5.545185657,0,0,0,0,0,0,7.588214145,0,0,0,10.95381288,4.427903618,0,0,0,9.701866593,11.86935447,5.471252739,5.653626679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C64H46N6O4Zn,3.547805682,ZnP,EthynFuA,DTA,EthynPhM,DTA,0,0,0,0,0,0,9.960428971,0,0,0,0,60.62970159,0,0,13.46315329,-1.178638928,12.58080497,5.545185657,0,0,0,0,0,0,7.588214145,0,0,0,10.95381288,4.427903618,0,0,0,9.701866593,11.86935447,5.471252739,5.653626679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C64H38F8N6O4Zn,3.311883541,FZnP,EthynFuA,DTA,EthynPhM,DTA,0,0,0,0,0,0,9.960428971,0,0,0,0,60.62970159,0,0,13.46315329,-1.178638928,12.58080497,5.545185657,0,0,0,0,0,0,7.588214145,0,0,0,10.95381288,4.427903618,0,0,0,9.701866593,11.86935447,5.471252739,5.653626679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C68H54N6O10S,3.394740281,H2P,EthynThPCyanoAcryl,TMP,MOTPA,TMP,0,0,0,0,0,0,12.73692039,0,0,0,1.328729485,51.17219334,0,0,8.471509803,-1.703298942,13.10381239,5.210283657,0,0,0,0,0,0,7.525929044,9.485691954,0,0,10.91174519,2.168837042,0,0,0,9.570830842,11.73134475,46.36300951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25579488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C68H52N6O11STi,3.375988229,TiOP,EthynThPCyanoAcryl,TMP,MOTPA,TMP,0,0,0,0,0,0,12.73692039,0,0,0,1.328729485,51.17219334,0,0,8.471509803,-1.703298942,13.10381239,5.210283657,0,0,0,0,0,0,7.525929044,9.485691954,0,0,10.91174519,2.168837042,0,0,0,9.570830842,11.73134475,46.36300951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25579488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C75H56N6O13STi,3.231633228,TiO2RP,EthynThPCyanoAcryl,TMP,MOTPA,TMP,0,0,0,0,0,0,12.73692039,0,0,0,1.328729485,51.17219334,0,0,8.471509803,-1.703298942,13.10381239,5.210283657,0,0,0,0,0,0,7.525929044,9.485691954,0,0,10.91174519,2.168837042,0,0,0,9.570830842,11.73134475,46.36300951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25579488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C68H44F8N6O11STi,3.142194573,FTiOP,EthynThPCyanoAcryl,TMP,MOTPA,TMP,0,0,0,0,0,0,12.73692039,0,0,0,1.328729485,51.17219334,0,0,8.471509803,-1.703298942,13.10381239,5.210283657,0,0,0,0,0,0,7.525929044,9.485691954,0,0,10.91174519,2.168837042,0,0,0,9.570830842,11.73134475,46.36300951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25579488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C68H52N6O10SZn,3.425450595,ZnP,EthynThPCyanoAcryl,TMP,MOTPA,TMP,0,0,0,0,0,0,12.73692039,0,0,0,1.328729485,51.17219334,0,0,8.471509803,-1.703298942,13.10381239,5.210283657,0,0,0,0,0,0,7.525929044,9.485691954,0,0,10.91174519,2.168837042,0,0,0,9.570830842,11.73134475,46.36300951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25579488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C68H44F8N6O10SZn,3.206605646,FZnP,EthynThPCyanoAcryl,TMP,MOTPA,TMP,0,0,0,0,0,0,12.73692039,0,0,0,1.328729485,51.17219334,0,0,8.471509803,-1.703298942,13.10381239,5.210283657,0,0,0,0,0,0,7.525929044,9.485691954,0,0,10.91174519,2.168837042,0,0,0,9.570830842,11.73134475,46.36300951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25579488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C80H64N6O4,3.611249984,H2P,EthynPhDA,TPA,DTBP,TPA,0,0,0,0,0,0,13.56536544,0,0,0,0,85.70040914,0,0,6.51844144,-2.532778033,14.21439212,5.774568477,-0.352251434,0,0,0,0,0,7.731688721,0,0,0,11.16095467,4.469154037,0,0,0,20.17967181,24.73705028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
